timestamp,altitude,vitesse,ax,ay,az,roll,pitch,yaw
0,1.92,0.97,0.27,0.1,10.11,-3.57,5,0
1,3.93,1.69,-0.16,-0.04,9.9,1.24,5,3
2,5.74,2.35,-0.18,-0.27,10.02,0.14,5,6
3,7.65,3.21,0.26,0.28,9.59,1.05,5,9
4,9.59,3.77,-0.41,-0.28,9.55,-4.14,5,12
5,9.72,3.72,-0.44,-0.29,9.97,2.67,0,15
6,9.67,3.8,-0.45,0.14,10.04,-1.82,0,18
7,9.68,4.0,-0.24,0.34,9.57,0.47,0,21
8,9.49,4.04,0.11,-0.17,9.51,-4.98,0,24
9,9.52,3.9,0.28,0.14,9.9,-2.95,0,27
10,9.64,4.06,-0.3,-0.27,9.72,0.82,0,30
11,9.82,4.14,-0.44,0.0,9.56,1.35,0,33
12,9.64,4.08,-0.14,-0.42,10.03,-0.96,0,36
13,9.47,4.06,0.03,0.2,9.66,-3.24,0,39
14,9.55,3.86,-0.4,-0.11,9.87,-1.34,0,42
15,9.36,3.86,-0.31,-0.32,9.55,-2.36,0,45
16,9.35,3.68,-0.26,-0.17,9.53,1.09,0,48
17,9.36,3.62,0.03,-0.07,9.71,0.44,0,51
18,9.47,3.77,0.42,0.42,9.65,-1.35,0,54
19,9.34,3.72,-0.02,-0.38,10.1,1.82,0,57
20,9.44,3.73,0.21,0.06,9.71,2.38,0,60
21,9.37,3.57,-0.43,0.05,9.59,2.05,0,63
22,9.42,3.71,-0.05,0.14,9.67,0.48,0,66
23,9.53,3.58,0.01,0.38,9.82,3.06,0,69
24,9.71,3.65,-0.09,-0.38,9.61,3.76,0,72
25,9.87,3.59,-0.06,-0.47,9.8,0.58,0,75
26,9.96,3.58,-0.15,-0.47,9.89,-4.67,0,78
27,10.05,3.7,0.27,0.02,9.68,-3.35,0,81
28,9.9,3.65,0.25,0.35,9.76,-2.37,0,84
29,9.97,3.54,0.22,0.1,10.02,4.2,0,87
30,10.15,3.45,-0.41,-0.1,10.04,3.58,0,90
31,10.33,3.35,0.42,-0.36,9.53,2.6,0,93
32,10.52,3.45,-0.38,-0.41,9.98,-0.73,0,96
33,10.6,3.54,0.4,-0.27,10.02,-3.4,0,99
34,10.74,3.34,-0.12,-0.28,9.73,3.04,0,102
35,10.76,3.25,0.29,-0.38,9.67,-2.75,0,105
36,10.85,3.08,0.33,0.35,10.07,-3.96,0,108
37,10.7,3.25,-0.15,0.08,10.06,0.13,0,111
38,10.72,3.16,-0.15,-0.18,9.86,0.54,0,114
39,10.6,3.2,0.01,-0.31,9.91,-2.49,0,117
40,10.5,3.35,0.1,-0.47,9.64,4.95,0,120
41,10.35,3.49,0.15,-0.34,9.52,-3.33,0,123
42,10.45,3.57,0.23,-0.01,9.68,4.81,0,126
43,10.47,3.37,-0.25,0.24,9.63,-3.69,0,129
44,10.58,3.25,-0.29,0.3,10.11,3.85,0,132
45,10.46,3.25,0.25,-0.45,9.77,-1.77,0,135
46,10.65,3.38,0.03,0.03,9.53,-2.92,0,138
47,10.57,3.41,-0.4,-0.07,9.7,2.68,0,141
48,10.58,3.37,0.27,-0.18,10.04,4.55,0,144
49,10.41,3.35,0.01,-0.18,9.56,2.94,0,147
50,10.29,3.23,-0.08,-0.24,9.54,2.31,0,150
51,10.49,3.13,-0.22,0.13,9.87,3.3,0,153
52,10.5,3.1,-0.16,-0.32,9.83,-4.34,0,156
53,10.53,3.16,-0.02,0.31,9.63,-3.61,0,159
54,10.37,3.01,0.41,0.37,9.93,2.15,0,162
55,10.3,2.94,0.02,-0.33,9.88,3.46,0,165
56,10.15,2.76,0.07,-0.26,10.1,1.86,0,168
57,10.35,2.81,0.16,0.39,9.99,3.43,0,171
58,10.15,2.84,-0.45,0.29,9.67,-1.03,0,174
59,10.35,2.84,-0.11,-0.5,9.91,1.2,0,177
60,10.37,2.83,0.33,-0.08,10.08,0.24,0,180
61,10.55,2.65,-0.43,0.36,9.69,1.76,0,183
62,10.71,2.85,0.02,0.1,9.66,-1.07,0,186
63,10.56,2.69,0.38,-0.38,10.0,2.32,0,189
64,10.51,2.78,0.34,0.07,9.88,-0.13,0,192
65,10.7,2.89,-0.47,-0.35,9.86,2.09,0,195
66,10.82,3.06,-0.13,-0.36,9.87,-0.73,0,198
67,10.72,2.87,-0.15,0.36,9.87,1.11,0,201
68,10.56,2.81,-0.03,-0.24,9.93,-3.07,0,204
69,10.64,2.97,-0.37,0.31,9.54,-0.34,0,207
70,10.52,3.1,-0.03,-0.13,10.09,4.27,0,210
71,10.72,3.3,-0.42,-0.29,9.7,2.77,0,213
