timestamp,altitude,vitesse,ax,ay,az,roll,pitch,yaw
0,1.59,0.74,-0.25,-0.02,9.87,-3.4,5,0
1,3.22,1.28,0.13,-0.21,9.95,-4.56,5,3
2,5.01,1.97,0.09,0.24,9.62,-3.33,5,6
3,6.79,2.51,-0.12,-0.39,9.83,-1.89,5,9
4,8.41,3.14,-0.01,-0.21,9.86,-1.59,5,12
5,9.9,3.72,0.44,0.21,9.67,-4.12,5,15
6,9.95,3.61,0.34,-0.12,9.78,-3.63,0,18
7,10.14,3.44,-0.45,-0.07,9.94,-2.78,0,21
8,9.97,3.45,-0.4,0.01,10.04,4.51,0,24
9,9.83,3.41,-0.39,-0.2,9.67,-0.35,0,27
10,9.91,3.21,0.47,-0.04,9.93,1.68,0,30
11,9.83,3.16,0.32,0.4,9.72,-4.3,0,33
12,10.01,3.26,-0.48,-0.15,9.57,4.9,0,36
13,9.89,3.14,-0.2,0.29,9.6,-1.86,0,39
14,9.86,3.23,-0.03,-0.36,9.58,-0.61,0,42
15,9.93,3.04,-0.13,-0.14,10.1,-4.11,0,45
16,9.82,3.0,-0.31,-0.09,10.05,3.33,0,48
17,9.93,3.17,0.32,0.05,9.95,-4.71,0,51
18,9.83,3.34,0.03,0.07,10.03,3.69,0,54
19,9.83,3.39,0.25,0.28,9.67,-3.07,0,57
20,9.99,3.2,0.48,-0.01,10.06,0.55,0,60
21,10.05,3.14,-0.06,0.48,9.59,-3.27,0,63
22,10.05,3.28,-0.34,-0.26,9.69,4.82,0,66
23,10.19,3.29,0.27,0.1,9.81,-0.74,0,69
24,10.1,3.22,-0.09,0.26,9.89,0.5,0,72
25,10.13,3.26,0.47,0.34,9.96,2.21,0,75
26,10.0,3.06,-0.34,0.09,9.98,4.75,0,78
27,10.01,3.16,0.11,0.21,10.01,-0.47,0,81
28,9.97,3.25,0.18,-0.12,10.03,-4.79,0,84
29,10.1,3.09,-0.4,0.27,9.66,-0.42,0,87
30,10.26,3.23,-0.25,0.08,10.0,2.81,0,90
31,10.46,3.07,-0.36,-0.03,9.62,1.82,0,93
32,10.6,3.02,-0.01,-0.42,9.85,2.83,0,96
33,10.45,2.97,0.37,-0.4,9.8,3.12,0,99
34,10.58,3.06,-0.24,-0.49,9.91,1.02,0,102
35,10.49,2.96,-0.32,0.38,9.86,2.08,0,105
36,10.39,3.07,-0.24,0.07,9.79,2.1,0,108
37,10.47,3.23,0.26,0.4,9.65,2.41,0,111
38,10.67,3.09,-0.48,-0.14,9.75,2.63,0,114
39,10.77,3.1,-0.47,0.09,9.9,-3.3,0,117
40,10.95,2.92,-0.06,0.3,9.52,0.71,0,120
41,10.77,2.86,-0.45,-0.1,9.72,2.01,0,123
42,10.79,2.71,0.47,0.03,9.67,-0.49,0,126
43,10.97,2.75,-0.3,-0.02,9.91,4.86,0,129
44,10.85,2.77,-0.23,-0.16,9.81,-3.17,0,132
45,10.68,2.74,-0.25,0.5,9.76,-0.2,0,135
46,10.53,2.91,-0.41,0.46,9.65,2.16,0,138
47,10.66,2.95,0.04,0.13,9.87,-1.95,0,141
48,10.75,3.06,-0.5,-0.07,10.08,2.07,0,144
49,10.62,2.89,-0.12,0.42,9.55,-1.85,0,147
50,10.78,2.84,-0.12,-0.28,9.83,-2.44,0,150
51,10.6,2.81,0.49,0.08,10.04,-1.84,0,153
52,10.7,2.62,-0.15,0.11,9.58,-1.26,0,156
53,10.64,2.69,-0.4,0.2,9.81,3.7,0,159
54,10.69,2.73,0.08,-0.34,10.0,-1.93,0,162
55,10.86,2.65,-0.39,-0.4,9.86,1.56,0,165
56,10.68,2.61,0.17,0.41,9.78,-0.61,0,168
57,10.64,2.79,-0.49,-0.01,9.88,-1.28,0,171
58,10.75,2.98,-0.39,0.0,9.72,-2.51,0,174
59,10.91,3.0,0.5,0.08,9.69,4.21,0,177
60,11.02,3.16,-0.08,0.36,9.94,2.12,0,180
61,10.95,3.13,0.39,-0.25,10.01,-1.84,0,183
62,11.08,3.25,0.14,0.13,9.73,-1.42,0,186
63,10.96,3.07,0.18,0.3,9.55,1.44,0,189
64,11.08,3.09,0.22,0.12,10.01,-0.91,0,192
65,11.27,3.07,-0.28,-0.29,9.87,3.74,0,195
66,11.41,3.05,-0.48,0.42,9.95,-2.78,0,198
67,11.58,2.98,-0.21,0.25,10.1,1.51,0,201
68,11.62,2.89,-0.2,0.19,9.74,0.24,0,204
69,11.54,3.01,0.1,0.06,10.08,1.65,0,207
70,11.53,3.01,0.21,-0.45,9.54,1.45,0,210
71,11.66,3.04,-0.37,-0.13,9.91,-1.43,0,213
72,11.77,3.0,0.06,0.26,9.59,1.9,0,216
73,11.87,3.16,-0.12,0.22,10.06,0.17,0,219
74,11.73,3.32,-0.2,-0.32,9.54,-0.05,0,222
75,11.78,3.31,0.26,0.16,9.98,3.08,0,225
76,11.59,3.19,0.25,-0.13,9.86,-4.67,0,228
77,11.49,3.17,0.19,0.12,9.52,1.25,0,231
78,11.61,3.0,-0.24,-0.18,9.67,-2.91,0,234
79,11.57,2.93,-0.1,-0.38,9.88,4.1,0,237
80,10.68,2.47,-0.05,0.42,9.54,-4.6,-5,240
81,9.72,2.14,-0.01,0.11,9.8,0.87,-5,243
82,9.14,1.47,0.45,-0.04,9.8,4.57,-5,246
83,8.53,0.95,-0.01,0.09,10.03,1.81,-5,249
84,7.9,0.5,-0.28,0.02,10.02,-1.11,-5,252
85,7.07,0,0.13,0.03,9.87,1.45,-5,255
86,6.46,0,0.42,0.34,9.88,3.24,-5,258
