timestamp,altitude,vitesse,ax,ay,az,roll,pitch,yaw
0,1.33,0.94,-0.01,0.15,9.67,-1.93,5,0
1,2.85,1.54,-0.4,0.2,9.75,3.96,5,3
2,4.24,2.06,-0.2,0.17,9.86,2.02,5,6
3,5.61,2.59,-0.35,0.27,9.75,-1.58,5,9
4,6.94,3.32,0.35,0.39,9.56,-4.17,5,12
5,8.33,4.06,-0.15,0.09,9.54,0.58,5,15
6,9.66,4.82,0.08,0.36,9.92,-0.17,5,18
7,9.56,4.94,-0.48,-0.45,9.54,4.59,0,21
8,9.38,4.81,0.17,-0.38,9.75,-3.25,0,24
9,9.21,4.85,0.03,0.29,9.96,0.22,0,27
10,9.1,4.69,0.12,-0.05,9.58,-0.17,0,30
11,9.04,4.83,-0.29,-0.16,9.66,-4.02,0,33
12,9.12,4.99,0.37,0.06,9.91,-3.6,0,36
13,9.13,5.02,0.42,0.1,9.73,2.15,0,39
14,9.11,5.19,-0.48,-0.43,9.89,-4.14,0,42
15,9.11,5.28,0.21,0.13,9.84,1.02,0,45
16,9.26,5.39,-0.16,-0.06,9.67,-0.12,0,48
17,9.16,5.36,0.27,-0.16,10.03,-0.5,0,51
18,9.05,5.33,-0.1,0.02,9.74,3.27,0,54
19,9.2,5.25,0.48,-0.05,9.76,-3.79,0,57
20,9.27,5.43,-0.0,0.5,9.86,-4.56,0,60
21,9.45,5.58,0.06,0.06,9.78,-3.06,0,63
22,9.48,5.46,0.5,0.42,10.0,4.71,0,66
23,9.62,5.38,-0.05,-0.35,9.59,0.52,0,69
24,9.44,5.35,-0.17,0.09,9.79,-2.13,0,72
25,9.31,5.18,-0.35,-0.34,9.96,2.62,0,75
26,9.29,5.21,-0.47,-0.11,9.58,0.95,0,78
27,9.38,5.17,-0.06,0.41,9.68,4.44,0,81
28,9.46,5.18,-0.27,0.26,10.01,-2.57,0,84
29,9.39,5.31,-0.47,0.37,9.91,-3.04,0,87
30,9.48,5.31,-0.19,-0.34,9.96,-4.03,0,90
31,9.39,5.16,0.16,0.27,9.94,-3.81,0,93
32,9.43,5.22,0.06,-0.31,10.04,2.01,0,96
33,9.4,5.13,0.32,-0.49,9.98,-2.93,0,99
34,9.42,5.02,0.39,0.45,9.57,-3.95,0,102
35,9.52,5.19,-0.14,0.34,9.75,-4.61,0,105
36,9.67,5.2,-0.27,-0.4,9.96,3.04,0,108
37,9.7,5.15,0.42,-0.04,9.58,-2.41,0,111
38,9.67,5.23,0.14,0.16,9.88,1.25,0,114
39,9.8,5.21,-0.02,-0.28,10.05,-3.58,0,117
40,9.73,5.27,-0.18,-0.02,9.7,-2.97,0,120
41,9.77,5.4,-0.35,-0.23,9.98,-2.84,0,123
42,9.57,5.53,-0.21,-0.16,9.81,-3.06,0,126
43,9.47,5.68,0.22,-0.47,9.75,-4.51,0,129
44,9.37,5.74,-0.41,0.45,9.66,0.72,0,132
45,9.19,5.66,0.15,-0.01,10.0,-2.36,0,135
46,9.21,5.8,0.04,-0.16,9.7,-2.87,0,138
47,9.15,5.95,-0.24,0.19,9.89,2.29,0,141
48,9.07,6.07,0.47,0.13,9.85,-4.2,0,144
49,9.03,6.23,-0.43,0.11,10.0,4.82,0,147
50,8.89,6.11,-0.47,-0.34,9.7,-2.73,0,150
51,8.91,6.29,-0.21,0.28,10.11,-4.39,0,153
52,9.09,6.22,-0.27,0.25,9.83,-3.69,0,156
53,9.02,6.33,0.08,-0.24,10.04,-4.19,0,159
54,9.1,6.42,0.02,0.17,9.63,1.92,0,162
55,9.12,6.62,-0.04,-0.36,9.72,2.63,0,165
56,9.22,6.81,-0.17,-0.31,10.05,-2.23,0,168
57,9.19,6.82,0.43,0.08,9.99,-2.93,0,171
58,9.26,6.64,-0.44,-0.15,10.06,-0.93,0,174
59,9.4,6.73,-0.13,-0.37,9.8,2.98,0,177
60,9.5,6.91,-0.34,0.05,10.09,-4.8,0,180
61,9.38,6.72,-0.5,-0.17,10.01,2.45,0,183
62,9.29,6.57,-0.49,-0.23,9.92,-0.09,0,186
63,9.14,6.63,-0.36,0.06,9.93,-2.17,0,189
64,9.32,6.59,-0.16,0.15,9.62,-4.82,0,192
65,9.31,6.76,-0.11,-0.17,9.95,0.41,0,195
66,9.31,6.72,0.06,-0.27,9.91,-2.04,0,198
67,9.5,6.56,0.36,0.42,10.07,2.65,0,201
68,9.62,6.44,0.15,0.33,9.95,-0.4,0,204
69,9.48,6.61,0.42,-0.27,9.58,3.73,0,207
70,9.48,6.79,0.25,0.1,9.92,-1.2,0,210
71,9.63,6.75,0.39,0.02,9.52,-0.25,0,213
72,9.77,6.86,-0.22,0.11,9.56,2.68,0,216
73,9.66,6.87,0.15,-0.36,10.07,-4.6,0,219
74,9.73,6.88,0.38,-0.38,10.05,-1.34,0,222
75,9.91,6.77,0.09,0.3,9.71,-3.42,0,225
76,9.72,6.78,-0.4,0.21,9.75,4.59,0,228
77,9.63,6.67,0.45,-0.47,10.1,-3.24,0,231
78,9.63,6.79,0.24,-0.3,9.82,-4.62,0,234
79,9.43,6.79,0.35,0.12,9.9,3.49,0,237
80,8.76,6.13,-0.26,0.33,9.95,2.5,-5,240
81,8.25,5.48,0.09,0.18,9.88,-3.07,-5,243
82,7.27,5.1,-0.23,0.17,9.77,0.45,-5,246
83,6.52,4.77,-0.08,-0.49,9.91,3.89,-5,249
84,6.02,4.41,0.49,0.23,9.78,4.7,-5,252
85,5.05,3.98,0.32,0.23,9.87,-1.47,-5,255
86,4.43,3.47,-0.43,0.11,9.62,-3.03,-5,258
87,3.58,3.06,-0.49,-0.29,9.96,-3.15,-5,261
88,2.72,2.67,-0.31,0.48,9.87,0.51,-5,264
89,1.81,2.03,-0.07,-0.22,9.89,1.99,-5,267
90,0.96,1.5,-0.41,-0.05,9.84,1.39,-5,270
91,0.26,0.93,-0.31,-0.49,9.76,3.17,-5,273
92,0,0.53,0.37,0.24,9.91,1.2,-5,276
93,0,0,0.5,-0.49,9.77,4.88,-5,279
94,0,0,-0.32,0.39,9.97,0.21,-5,282
95,0,0,-0.03,0.1,9.58,-4.82,-5,285
96,0,0,-0.35,0.15,9.98,-1.45,-5,288
97,0,0,0.14,-0.5,9.83,-4.84,-5,291
98,0,0,0.13,0.19,10.08,-4.86,-5,294
99,0,0,-0.03,0.11,9.86,-1.08,-5,297
100,0,0,-0.41,-0.45,10.06,1.24,-5,300
101,0,0,-0.16,0.06,10.02,1.18,-5,303
102,0,0,-0.49,0.04,10.05,-4.17,-5,306
103,0,0,0.02,-0.15,9.92,4.97,-5,309
104,0,0,0.13,-0.31,9.85,1.99,-5,312
105,0,0,0.33,0.15,9.61,-3.18,-5,315
106,0,0,0.04,-0.11,10.0,-1.69,-5,318
107,0,0,-0.08,0.15,9.97,0.7,-5,321
108,0,0,-0.45,0.32,9.72,1.87,-5,324
109,0,0,0.08,-0.24,10.05,-4.98,-5,327
110,0,0,0.44,0.25,10.07,1.15,-5,330
111,0,0,0.4,-0.24,9.91,0.87,-5,333
112,0,0,-0.27,0.32,9.52,5.0,-5,336
113,0,0,-0.05,-0.29,9.82,-0.07,-5,339
114,0,0,0.23,-0.18,9.54,2.05,-5,342
115,0,0,0.5,0.16,9.79,0.89,-5,345
116,0,0,0.12,0.38,9.61,4.12,-5,348
117,0,0,0.46,0.43,10.09,3.22,-5,351
118,0,0,-0.03,-0.1,9.56,4.81,-5,354
119,0,0,0.37,0.18,9.68,-1.97,-5,357
